product_id,line,batch_count,tray_no,position,rank
P10000000109,1,1,22,9,D
P10000000215,1,2,11,15,A
P10000000302,1,3,20,2,B
P10000000316,1,3,20,16,B
P10000000510,1,5,21,10,C
P10000000612,1,6,27,12,D
P10000000709,1,7,4,9,D
P10000000813,1,8,25,13,D
P10000001007,1,10,24,7,C
P10000001107,1,11,5,7,C
P10000001206,1,12,3,6,D
P10000001208,1,12,3,8,C
P10000001209,1,12,3,9,D
P10000001212,1,12,3,12,C
P10000001502,1,15,19,2,A
P10000001706,1,17,8,6,B
P10000001708,1,17,8,8,C
P10000001803,1,18,28,3,C
P10000001806,1,18,28,6,D
P10000001812,1,18,28,12,B
P10000001904,1,19,2,4,C
P10000002201,1,22,16,1,D
P10000002414,1,24,29,14,D
P10000002507,1,25,10,7,A
P10000002609,1,26,9,9,D
P10000002704,1,27,13,4,B
P10000002716,1,27,13,16,B
P10000002802,1,28,12,2,B
P10000003009,1,30,18,9,C
P10000003203,1,32,11,3,A
P10000003206,1,32,11,6,C
P10000003501,1,35,21,1,C
P10000003706,1,37,4,6,C
P10000003802,1,38,25,2,A
P10000003805,1,38,25,5,C
P10000003811,1,38,25,11,B
P10000003814,1,38,25,14,A
P10000003916,1,39,23,16,C
P10000004004,1,40,24,4,C
P10000004013,1,40,24,13,D
P10000004016,1,40,24,16,C
P10000004315,1,43,26,15,C
P10000004404,1,44,7,4,B
P10000004504,1,45,19,4,B
P10000004616,1,46,14,16,B
P10000004711,1,47,8,11,C
P10000004908,1,49,2,8,B
P10000005014,1,50,17,14,B
P10000005102,1,51,1,2,A
P10000005107,1,51,1,7,B
P10000005109,1,51,1,9,C
P10000005114,1,51,1,14,B
P10000005204,1,52,16,4,B
P10000005210,1,52,16,10,D
P10000005212,1,52,16,12,C
P10000005310,1,53,30,10,D
P10000005314,1,53,30,14,D
P10000005315,1,53,30,15,C
P10000005407,1,54,29,7,B
P10000005608,1,56,9,8,D
P10000005611,1,56,9,11,C
P10000005908,1,59,6,8,D
P10000006102,1,61,22,2,D
P10000006104,1,61,22,4,A
P10000006206,1,62,11,6,C
P10000006214,1,62,11,14,B
P10000006308,1,63,20,8,A
P10000006313,1,63,20,13,D
P10000006405,1,64,15,5,D
P10000006406,1,64,15,6,D
P10000006808,1,68,25,8,C
P10000007001,1,70,24,1,D
P10000007006,1,70,24,6,D
P10000007007,1,70,24,7,C
P10000007010,1,70,24,10,C
P10000007103,1,71,5,3,B
P10000007104,1,71,5,4,C
P10000007302,1,73,26,2,B
P10000007314,1,73,26,14,B
P10000007410,1,74,7,10,B
P10000007515,1,75,19,15,C
P10000007516,1,75,19,16,B
P10000007716,1,77,8,16,B
P10000008009,1,80,17,9,A
P10000008111,1,81,1,11,A
P10000008211,1,82,16,11,C
P10000008305,1,83,30,5,C
P10000008308,1,83,30,8,D
P10000008710,1,87,13,10,A
P10000008714,1,87,13,14,B
P10000008807,1,88,12,7,B
P10000008810,1,88,12,10,A
P10000008914,1,89,6,14,C
P10000009004,1,90,18,4,B
P10000009108,1,91,22,8,A
P10000009203,1,92,11,3,B
P10000009214,1,92,11,14,C
P10000009404,1,94,15,4,C
P10000009416,1,94,15,16,C
P10000009510,1,95,21,10,C
P10000009712,1,97,4,12,C
P10000009807,1,98,25,7,D
P10000009912,1,99,23,12,C
P10000010004,1,100,24,4,C
P10000010013,1,100,24,13,D
P10000010103,1,101,5,3,B
P10000010206,1,102,3,6,D
P10000010306,1,103,26,6,B
P10000010313,1,103,26,13,B
P10000010404,1,104,7,4,C
P10000010410,1,104,7,10,C
P10000010415,1,104,7,15,A
P10000010501,1,105,19,1,D
P10000010507,1,105,19,7,B
P10000010609,1,106,14,9,C
P10000010616,1,106,14,16,B
P10000010708,1,107,8,8,B
P10000010709,1,107,8,9,D
P10000010715,1,107,8,15,B
P10000010807,1,108,28,7,B
P10000010811,1,108,28,11,C
P10000010908,1,109,2,8,C
P10000010915,1,109,2,15,B
P10000011008,1,110,17,8,C
P10000011105,1,111,1,5,C
P10000011207,1,112,16,7,D
P10000011401,1,114,29,1,C
P10000011501,1,115,10,1,C
P10000011615,1,116,9,15,C
P10000011708,1,117,13,8,D
P10000011710,1,117,13,10,A
P10000011712,1,117,13,12,C
P10000011809,1,118,12,9,C
P10000011816,1,118,12,16,B
P10000011913,1,119,6,13,C
P10000012116,1,121,22,16,B
P10000012211,1,122,11,11,C
P10000012406,1,124,15,6,C
P10000012414,1,124,15,14,B
P10000012508,1,125,21,8,C
P10000012512,1,125,21,12,C
P10000012616,1,126,27,16,A
P10000012706,1,127,4,6,B
P10000012905,1,129,23,5,D
P10000013102,1,131,5,2,A
P10000013210,1,132,3,10,C
P10000013304,1,133,26,4,D
P10000013413,1,134,7,13,C
P10000013705,1,137,8,5,D
P10000013706,1,137,8,6,C
P10000013801,1,138,28,1,C
P10000013908,1,139,2,8,B
P10000014312,1,143,30,12,C
P10000014402,1,144,29,2,A
P10000014409,1,144,29,9,C
P10000014416,1,144,29,16,B
P10000014514,1,145,10,14,C
P10000014603,1,146,9,3,B
P10000014605,1,146,9,5,D
P10000014615,1,146,9,15,D
P10000014616,1,146,9,16,C
P10000014701,1,147,13,1,B
P10000014705,1,147,13,5,B
P10000014708,1,147,13,8,C
P10000014714,1,147,13,14,A
P10000015108,1,151,22,8,D
P10000015202,1,152,11,2,B
P10000015208,1,152,11,8,B
P10000015411,1,154,15,11,A
P10000015512,1,155,21,12,C
P10000015514,1,155,21,14,C
P10000015702,1,157,4,2,A
P10000015707,1,157,4,7,C
P10000015803,1,158,25,3,A
P10000015909,1,159,23,9,A
P10000016106,1,161,5,6,B
P10000016111,1,161,5,11,B
P10000016205,1,162,3,5,D
P10000016308,1,163,26,8,C
P10000016309,1,163,26,9,D
P10000016314,1,163,26,14,C
P10000016402,1,164,7,2,A
P10000016407,1,164,7,7,A
P10000016509,1,165,19,9,C
P10000016615,1,166,14,15,B
P10000016710,1,167,8,10,B
P10000016711,1,167,8,11,B
P10000016806,1,168,28,6,C
P10000016808,1,168,28,8,D
P10000016813,1,168,28,13,D
P10000016901,1,169,2,1,D
P10000017014,1,170,17,14,C
P10000017102,1,171,1,2,C
P10000017202,1,172,16,2,C
P10000017312,1,173,30,12,A
P10000017501,1,175,10,1,C
P10000017504,1,175,10,4,B
P10000017909,1,179,6,9,D
P10000017911,1,179,6,11,A
P10000018009,1,180,18,9,C
P10000018102,1,181,22,2,C
P10000018105,1,181,22,5,D
P10000018210,1,182,11,10,C
P10000018407,1,184,15,7,A
P10000018501,1,185,21,1,D
P10000018605,1,186,27,5,C
P10000018613,1,186,27,13,C
P10000018709,1,187,4,9,C
P10000018713,1,187,4,13,D
P10000018812,1,188,25,12,C
P10000018901,1,189,23,1,C
P10000018902,1,189,23,2,C
P10000018908,1,189,23,8,C
P10000019001,1,190,24,1,D
P10000019009,1,190,24,9,C
P10000019202,1,192,3,2,C
P10000019204,1,192,3,4,B
P10000019313,1,193,26,13,D
P10000019401,1,194,7,1,D
P10000019405,1,194,7,5,D
P10000019410,1,194,7,10,D
P10000019511,1,195,19,11,C
P10000019513,1,195,19,13,D
P10000019607,1,196,14,7,C
P10000019701,1,197,8,1,D
P10000019705,1,197,8,5,C
P10000019706,1,197,8,6,C
P10000019808,1,198,28,8,A
P10000019813,1,198,28,13,D
P10000019815,1,198,28,15,B
P10000020001,1,200,17,1,B
P10000020006,1,200,17,6,A
P10000020115,1,201,1,15,D
P10000020212,1,202,16,12,A
P10000020311,1,203,30,11,A
P10000020502,1,205,10,2,B
P10000020605,1,206,9,5,A
P10000020701,1,207,13,1,C
P10000020903,1,209,6,3,A
P10000020908,1,209,6,8,C
P10000020914,1,209,6,14,C
P10000021001,1,210,18,1,D
P10000021009,1,210,18,9,D
P10000021212,1,212,11,12,B
P10000021314,1,213,20,14,C
P10000021315,1,213,20,15,B
P10000021408,1,214,15,8,B
P10000021501,1,215,21,1,A
P10000021910,1,219,23,10,B
P10000022103,1,221,5,3,A
P10000022202,1,222,3,2,C
P10000022314,1,223,26,14,C
P10000022415,1,224,7,15,A
P10000022416,1,224,7,16,B
P10000022505,1,225,19,5,D
P10000022603,1,226,14,3,B
P10000022610,1,226,14,10,B
P10000022616,1,226,14,16,D
P10000022702,1,227,8,2,D
P10000022815,1,228,28,15,B
P10000022816,1,228,28,16,B
P10000022901,1,229,2,1,D
P10000022902,1,229,2,2,D
P10000022905,1,229,2,5,D
P10000022913,1,229,2,13,C
P10000023005,1,230,17,5,C
P10000023008,1,230,17,8,C
P10000023009,1,230,17,9,C
P10000023203,1,232,16,3,D
P10000023301,1,233,30,1,D
P10000023305,1,233,30,5,D
P10000023307,1,233,30,7,D
P10000023312,1,233,30,12,D
P10000023316,1,233,30,16,D
P10000023406,1,234,29,6,B
P10000023415,1,234,29,15,B
P10000023503,1,235,10,3,C
P10000023601,1,236,9,1,D
P10000023602,1,236,9,2,B
P10000023605,1,236,9,5,C
P10000023607,1,236,9,7,B
P10000023702,1,237,13,2,A
P10000023704,1,237,13,4,C
P10000023714,1,237,13,14,B
P10000023810,1,238,12,10,B
P10000023910,1,239,6,10,A
P10000024001,1,240,18,1,C
P10000024109,1,241,22,9,D
P10000024205,1,242,11,5,C
P10000024308,1,243,20,8,C
P10000024405,1,244,15,5,B
P10000024406,1,244,15,6,B
P10000024410,1,244,15,10,A
P10000024411,1,244,15,11,B
P10000024507,1,245,21,7,D
P10000024605,1,246,27,5,C
P10000024610,1,246,27,10,B
P10000024811,1,248,25,11,B
P10000024909,1,249,23,9,D
P10000024915,1,249,23,15,C
P10000025016,1,250,24,16,D
P10000025102,1,251,5,2,D
P10000025108,1,251,5,8,B
P10000025114,1,251,5,14,B
P10000025210,1,252,3,10,C
P10000025216,1,252,3,16,C
P10000025308,1,253,26,8,C
P10000025403,1,254,7,3,B
P10000025506,1,255,19,6,B
P10000025507,1,255,19,7,B
P10000025515,1,255,19,15,B
P10000025806,1,258,28,6,B
P10000025908,1,259,2,8,C
P10000025915,1,259,2,15,B
P10000026001,1,260,17,1,C
P10000026005,1,260,17,5,C
P10000026006,1,260,17,6,B
P10000026106,1,261,1,6,D
P10000026113,1,261,1,13,D
P10000026115,1,261,1,15,D
P10000026210,1,262,16,10,C
P10000026303,1,263,30,3,B
P10000026404,1,264,29,4,C
P10000026602,1,266,9,2,B
P10000026615,1,266,9,15,B
P10000026705,1,267,13,5,B
P10000026804,1,268,12,4,B
P10000027106,1,271,22,6,B
P10000027115,1,271,22,15,B
P10000027213,1,272,11,13,D
P10000027214,1,272,11,14,D
P10000027312,1,273,20,12,C
P10000027409,1,274,15,9,C
P10000027505,1,275,21,5,D
P10000027509,1,275,21,9,C
P10000027515,1,275,21,15,B
P10000027516,1,275,21,16,D
P10000027601,1,276,27,1,C
P10000027602,1,276,27,2,C
P10000027614,1,276,27,14,C
P10000027705,1,277,4,5,D
P10000027815,1,278,25,15,A
P10000027902,1,279,23,2,A
P10000028212,1,282,3,12,C
P10000028312,1,283,26,12,C
P10000028403,1,284,7,3,A
P10000028501,1,285,19,1,D
P10000028514,1,285,19,14,D
P10000028605,1,286,14,5,D
P10000028701,1,287,8,1,D
P10000028714,1,287,8,14,C
P10000028810,1,288,28,10,B
P10000028902,1,289,2,2,C
P10000028907,1,289,2,7,C
P10000028912,1,289,2,12,C
P10000029002,1,290,17,2,C
P10000029004,1,290,17,4,C
P10000029009,1,290,17,9,D
P10000029107,1,291,1,7,B
P10000029110,1,291,1,10,C
P10000029205,1,292,16,5,D
P10000029210,1,292,16,10,B
P10000029212,1,292,16,12,B
P10000029302,1,293,30,2,D
P10000029413,1,294,29,13,C
P10000029503,1,295,10,3,B
P10000029610,1,296,9,10,A
P10000029709,1,297,13,9,D
P10000029808,1,298,12,8,B
P10000029901,1,299,6,1,C
P10000029907,1,299,6,7,B
P10000030102,1,301,22,2,B
P10000030108,1,301,22,8,C
P10000030114,1,301,22,14,C
P10000030210,1,302,11,10,C
P10000030216,1,302,11,16,B
P10000030304,1,303,20,4,D
P10000030312,1,303,20,12,B
P10000030403,1,304,15,3,D
P10000030414,1,304,15,14,D
P10000030515,1,305,21,15,D
P10000030607,1,306,27,7,A
P10000030609,1,306,27,9,C
P10000030612,1,306,27,12,C
P10000030713,1,307,4,13,D
P10000030812,1,308,25,12,B
P10000030913,1,309,23,13,C
P10000031007,1,310,24,7,C
P10000031111,1,311,5,11,C
P10000031112,1,311,5,12,D
P10000031113,1,311,5,13,B
P10000031303,1,313,26,3,C
P10000031309,1,313,26,9,D
P10000031412,1,314,7,12,B
P10000031508,1,315,19,8,D
P10000031513,1,315,19,13,D
P10000031616,1,316,14,16,B
P10000031713,1,317,8,13,D
P10000031715,1,317,8,15,B
P10000031902,1,319,2,2,D
P10000032002,1,320,17,2,C
P10000032004,1,320,17,4,C
P10000032101,1,321,1,1,D
P10000032408,1,324,29,8,C
P10000032410,1,324,29,10,D
P10000032414,1,324,29,14,D
P10000032416,1,324,29,16,C
P10000032502,1,325,10,2,B
P10000032509,1,325,10,9,C
P10000032609,1,326,9,9,C
P10000032705,1,327,13,5,C
P10000032904,1,329,6,4,C
P10000032916,1,329,6,16,B
P10000033104,1,331,22,4,D
P10000033204,1,332,11,4,B
P10000033207,1,332,11,7,C
P10000033308,1,333,20,8,C
P10000033405,1,334,15,5,C
P10000033406,1,334,15,6,A
P10000033412,1,334,15,12,B
P10000033605,1,336,27,5,D
P10000033611,1,336,27,11,C
P10000033702,1,337,4,2,B
P10000033711,1,337,4,11,B
P10000034011,1,340,24,11,C
P10000034111,1,341,5,11,B
P10000034113,1,341,5,13,D
P10000034116,1,341,5,16,B
P10000034215,1,342,3,15,D
P10000034305,1,343,26,5,D
P10000034307,1,343,26,7,C
P10000034408,1,344,7,8,D
P10000034508,1,345,19,8,C
P10000034608,1,346,14,8,C
P10000034701,1,347,8,1,D
P10000034803,1,348,28,3,A
P10000034908,1,349,2,8,D
P10000035011,1,350,17,11,D
P10000035109,1,351,1,9,C
P10000035113,1,351,1,13,C
